i,qx,X,stddev,time
0,0,2.61467,0.133085,851.471
1,0.00873733,1.39328,0.0405784,847.662
2,0.0174747,1.24796,0.0241554,854.832
3,0.026212,1.25471,0.0177235,859.09
4,0.0349493,1.18571,0.0139288,847.747
5,0.0436866,1.14073,0.0116992,849.525
6,0.052424,1.15177,0.00998858,853.559
7,0.0611613,1.14053,0.00874724,852.807
8,0.0698986,1.13563,0.00773453,848.8
9,0.0786359,1.02326,0.00696841,863.914
10,0.0873733,0.872096,0.00639866,846.461
11,0.0961106,0.853502,0.00593341,859.34
12,0.104848,0.959201,0.00555287,853.671
13,0.113585,1.02033,0.00514346,856.787
14,0.122323,1.04553,0.00481675,853.964
15,0.13106,1.06189,0.00455516,859.996
16,0.139797,1.07691,0.00432053,854.077
17,0.148535,1.08459,0.00404124,852.952
18,0.157272,1.11173,0.00389687,848.47
19,0.166009,1.12101,0.00369595,848.721
20,0.174747,1.13707,0.00354483,846.454
21,0.183484,1.13815,0.00337973,853.066
22,0.192221,1.15804,0.00324093,853.984
23,0.200958,1.141,0.00313762,850.515
24,0.209696,1.12413,0.00304419,856.485
