i,qx,X,stddev,time
25,0.218433,1.15668,0.00291373,827.667
26,0.22717,1.1687,0.00279778,854.077
27,0.235908,1.17368,0.00274568,835.558
28,0.244645,1.15946,0.00265583,840.642
29,0.253382,1.17918,0.00258291,844.071
30,0.26212,1.17407,0.00250453,837.158
31,0.270857,1.16892,0.00243,843.806
32,0.279594,1.17151,0.00234553,841.555
33,0.288332,1.18346,0.00229731,842.717
34,0.297069,1.19546,0.00223358,837.39
35,0.305806,1.1858,0.00217493,839.635
36,0.314544,1.18305,0.00211718,840.14
37,0.323281,1.18488,0.00210252,837.013
38,0.332018,1.17817,0.00204152,840.631
39,0.340756,1.19965,0.001988,838.106
40,0.349493,1.20275,0.00193403,848.543
41,0.35823,1.21139,0.00187165,843.959
42,0.366968,1.20771,0.00183882,845.714
43,0.375705,1.20773,0.00178071,838.041
44,0.384442,1.21813,0.00172862,836.315
45,0.39318,1.22452,0.00162505,843.433
46,0.401917,1.15866,0.00153354,840.509
47,0.410654,1.13955,0.00153784,845.666
48,0.419392,1.18891,0.00150981,835.835
49,0.428129,1.21626,0.00145886,838.616
