i,qx,X,stddev,time
75,0.655299,0.02688,8.54495e-05,16.9538
76,0.664037,0.0264356,8.58222e-05,17.3951
77,0.672774,0.0260959,8.20622e-05,17.1081
78,0.681511,0.0257433,8.15268e-05,16.9665
79,0.690249,0.0254646,8.04631e-05,17.209
80,0.698986,0.0250582,8.01552e-05,16.8358
81,0.707723,0.0247339,7.94132e-05,16.9951
82,0.716461,0.0244327,7.62028e-05,17.0265
83,0.725198,0.0242851,7.59875e-05,16.8474
84,0.733935,0.0241599,7.68712e-05,16.9042
85,0.742673,0.0239559,7.52786e-05,16.9941
86,0.75141,0.0236455,7.60791e-05,17.0781
87,0.760147,0.0233814,7.3203e-05,16.9857
88,0.768885,0.0232206,7.14713e-05,16.8876
89,0.777622,0.0230865,7.42602e-05,17.4502
90,0.786359,0.022926,7.27658e-05,17.1439
91,0.795097,0.0227826,7.15399e-05,17.0243
92,0.803834,0.0227295,7.31087e-05,16.908
93,0.812571,0.0226009,7.08354e-05,16.7883
94,0.821309,0.0225474,7.19561e-05,17.1456
95,0.830046,0.0223062,7.1317e-05,16.8949
96,0.838783,0.0222698,7.13393e-05,17.1839
97,0.847521,0.0222956,7.17143e-05,17.2905
98,0.856258,0.0221993,7.30209e-05,17.1388
99,0.864995,0.0221791,6.89207e-05,17.1246
100,0.873733,0.022315,7.02543e-05,17.2065
