i,qx,X,stddev,time
0,0,1.08921,0.0108845,77.385
1,0.00873733,1.00221,0.00912227,34.4489
2,0.0174747,0.97398,0.00807616,25.5728
3,0.026212,0.967221,0.00571025,25.7184
4,0.0349493,0.963107,0.0046578,25.5468
5,0.0436866,0.9456,0.00912852,16.6737
6,0.052424,0.927887,0.00674043,17.476
7,0.0611613,0.908795,0.00593765,17.0053
8,0.0698986,0.85913,0.00491761,16.7961
9,0.0786359,0.720281,0.00553749,17.0544
10,0.0873733,0.561413,0.0040809,17.1162
11,0.0961106,0.423194,0.00342078,16.8212
12,0.104848,0.34458,0.00278155,16.967
13,0.113585,0.286374,0.00262019,17.1171
14,0.122323,0.231638,0.00231471,17.2342
15,0.13106,0.197779,0.00114932,26.3454
16,0.139797,0.178655,0.00110415,25.6349
17,0.148535,0.166856,0.00111699,25.5828
18,0.157272,0.159894,0.0012189,25.4536
19,0.166009,0.157427,0.00130898,25.4078
20,0.174747,0.15394,0.00107607,25.5866
21,0.183484,0.155576,0.000997903,25.6819
22,0.192221,0.157024,0.000880339,25.3586
23,0.200958,0.155209,0.000786781,25.3725
24,0.209696,0.140133,0.000735758,25.5357
