i,qx,X,stddev,time
25,0.218433,0.129041,0.000669952,25.1613
26,0.22717,0.121775,0.000629632,25.1592
27,0.235908,0.115279,0.00111246,16.8219
28,0.244645,0.112703,0.00100841,16.7887
29,0.253382,0.110205,0.000962893,16.6801
30,0.26212,0.107029,0.000951831,16.7008
31,0.270857,0.102826,0.000879113,17.0598
32,0.279594,0.100467,0.000756591,16.7639
33,0.288332,0.0974748,0.000762354,16.9392
34,0.297069,0.0937081,0.000672766,16.7745
35,0.305806,0.092869,0.000618019,16.7568
36,0.314544,0.0910343,0.000592154,16.659
37,0.323281,0.0888901,0.00054353,16.4852
38,0.332018,0.0826422,0.000529687,16.6389
39,0.340756,0.0775654,0.000601999,16.8991
40,0.349493,0.0752193,0.000523833,16.649
41,0.35823,0.0719737,0.00051018,16.8575
42,0.366968,0.0710439,0.000487499,16.6609
43,0.375705,0.069662,0.000421571,16.8786
44,0.384442,0.0678518,0.000343108,16.8172
45,0.39318,0.0668346,0.000299594,17.1864
46,0.401917,0.0608075,0.000244205,16.7412
47,0.410654,0.0573607,0.000250166,16.8448
48,0.419392,0.0545424,0.000233511,16.6624
49,0.428129,0.0528144,0.000222922,16.9851
