i,qx,X,stddev,time
75,0.655299,0.826868,0.000414323,850.029
76,0.664037,0.80635,0.000405117,857.393
77,0.672774,0.786698,0.000395958,858.908
78,0.681511,0.770022,0.000390792,865.338
79,0.690249,0.755066,0.000384711,855.59
80,0.698986,0.741547,0.000369168,851.064
81,0.707723,0.728847,0.000369789,854.543
82,0.716461,0.716154,0.000360825,858.983
83,0.725198,0.705095,0.000356226,859.078
84,0.733935,0.694428,0.000349555,871.236
85,0.742673,0.685689,0.000350845,856.632
86,0.75141,0.677959,0.000341744,863.373
87,0.760147,0.670266,0.000338666,857.297
88,0.768885,0.662705,0.00033323,870.136
89,0.777622,0.658279,0.00033124,858.811
90,0.786359,0.65229,0.000331303,860.736
91,0.795097,0.645513,0.000324871,860.305
92,0.803834,0.642348,0.000325376,857.277
93,0.812571,0.63688,0.000322876,857.654
94,0.821309,0.634284,0.000317717,853.264
95,0.830046,0.629415,0.000315309,855.717
96,0.838783,0.629064,0.000316556,865.73
97,0.847521,0.625399,0.000313373,857.774
98,0.856258,0.625488,0.000312188,871.977
99,0.864995,0.622676,0.000315469,855.621
100,0.873733,0.621318,0.000309793,866.768
